[['Marino 2nd Floor', '39', '11/01/2022 04:26 PM'], ['Marino Gym', '32', '11/01/2022 04:25 PM'], ['Marino 3rd Floor Weights', '55', '11/01/2022 03:55 PM'], ['Marino 3rd Floor Cardio', '33', '11/01/2022 03:55 PM'], ['Marino Track', '3', '11/01/2022 03:55 PM'], ['Squashbusters', '36', '11/01/2022 04:03 PM']]
[['Marino 2nd Floor', '39', '11/01/2022 04:26 PM'], ['Marino Gym', '32', '11/01/2022 04:25 PM'], ['Marino 3rd Floor Weights', '73', '11/01/2022 04:36 PM'], ['Marino 3rd Floor Cardio', '48', '11/01/2022 04:36 PM'], ['Marino Track', '10', '11/01/2022 04:36 PM'], ['Squashbusters', '49', '11/01/2022 04:48 PM']]
[['Marino 2nd Floor', '39', '11/01/2022 04:26 PM'], ['Marino Gym', '32', '11/01/2022 04:25 PM'], ['Marino 3rd Floor Weights', '73', '11/01/2022 04:36 PM'], ['Marino 3rd Floor Cardio', '48', '11/01/2022 04:36 PM'], ['Marino Track', '10', '11/01/2022 04:36 PM'], ['Squashbusters', '49', '11/01/2022 04:48 PM']]
[['Marino 2nd Floor', '41', '11/01/2022 05:56 PM'], ['Marino Gym', '48', '11/01/2022 05:56 PM'], ['Marino 3rd Floor Weights', '68', '11/01/2022 05:56 PM'], ['Marino 3rd Floor Cardio', '41', '11/01/2022 05:56 PM'], ['Marino Track', '7', '11/01/2022 05:56 PM'], ['Squashbusters', '54', '11/01/2022 05:59 PM']]
[['Marino 2nd Floor', '40', '11/01/2022 06:53 PM'], ['Marino Gym', '31', '11/01/2022 06:53 PM'], ['Marino 3rd Floor Weights', '66', '11/01/2022 06:53 PM'], ['Marino 3rd Floor Cardio', '42', '11/01/2022 06:40 PM'], ['Marino Track', '7', '11/01/2022 06:53 PM'], ['Squashbusters', '54', '11/01/2022 06:01 PM']]
[['Marino 2nd Floor', '54', '11/01/2022 07:42 PM'], ['Marino Gym', '36', '11/01/2022 07:42 PM'], ['Marino 3rd Floor Weights', '70', '11/01/2022 07:31 PM'], ['Marino 3rd Floor Cardio', '41', '11/01/2022 07:31 PM'], ['Marino Track', '6', '11/01/2022 07:31 PM'], ['Squashbusters', '39', '11/01/2022 07:30 PM']]
[['Marino 2nd Floor', '54', '11/01/2022 08:41 PM'], ['Marino Gym', '28', '11/01/2022 08:41 PM'], ['Marino 3rd Floor Weights', '64', '11/01/2022 08:53 PM'], ['Marino 3rd Floor Cardio', '37', '11/01/2022 08:53 PM'], ['Marino Track', '6', '11/01/2022 08:53 PM'], ['Squashbusters', '40', '11/01/2022 08:42 PM']]
[['Marino 2nd Floor', '52', '11/01/2022 09:04 PM'], ['Marino Gym', '27', '11/01/2022 09:04 PM'], ['Marino 3rd Floor Weights', '66', '11/01/2022 09:51 PM'], ['Marino 3rd Floor Cardio', '37', '11/01/2022 09:51 PM'], ['Marino Track', '6', '11/01/2022 09:51 PM'], ['Squashbusters', '35', '11/01/2022 09:16 PM']]
[['Marino 2nd Floor', '49', '11/01/2022 10:26 PM'], ['Marino Gym', '34', '11/01/2022 10:26 PM'], ['Marino 3rd Floor Weights', '59', '11/01/2022 10:52 PM'], ['Marino 3rd Floor Cardio', '33', '11/01/2022 10:52 PM'], ['Marino Track', '5', '11/01/2022 10:52 PM'], ['Squashbusters', '35', '11/01/2022 09:16 PM']]
[['Marino 2nd Floor', '7', '11/01/2022 11:43 PM'], ['Marino Gym', '24', '11/01/2022 11:43 PM'], ['Marino 3rd Floor Weights', '59', '11/01/2022 10:52 PM'], ['Marino 3rd Floor Cardio', '33', '11/01/2022 10:52 PM'], ['Marino Track', '5', '11/01/2022 10:52 PM'], ['Squashbusters', '35', '11/01/2022 09:16 PM']]
[['Marino 2nd Floor', '7', '11/01/2022 11:43 PM'], ['Marino Gym', '24', '11/01/2022 11:43 PM'], ['Marino 3rd Floor Weights', '59', '11/01/2022 10:52 PM'], ['Marino 3rd Floor Cardio', '33', '11/01/2022 10:52 PM'], ['Marino Track', '5', '11/01/2022 10:52 PM'], ['Squashbusters', '35', '11/01/2022 09:16 PM']]
[['Marino 2nd Floor', '7', '11/01/2022 11:43 PM'], ['Marino Gym', '24', '11/01/2022 11:43 PM'], ['Marino 3rd Floor Weights', '59', '11/01/2022 10:52 PM'], ['Marino 3rd Floor Cardio', '33', '11/01/2022 10:52 PM'], ['Marino Track', '5', '11/01/2022 10:52 PM'], ['Squashbusters', '35', '11/01/2022 09:16 PM']]
[['Marino 2nd Floor', '7', '11/01/2022 11:43 PM'], ['Marino Gym', '24', '11/01/2022 11:43 PM'], ['Marino 3rd Floor Weights', '59', '11/01/2022 10:52 PM'], ['Marino 3rd Floor Cardio', '33', '11/01/2022 10:52 PM'], ['Marino Track', '5', '11/01/2022 10:52 PM'], ['Squashbusters', '35', '11/01/2022 09:16 PM']]
[['Marino 2nd Floor', '7', '11/01/2022 11:43 PM'], ['Marino Gym', '24', '11/01/2022 11:43 PM'], ['Marino 3rd Floor Weights', '59', '11/01/2022 10:52 PM'], ['Marino 3rd Floor Cardio', '33', '11/01/2022 10:52 PM'], ['Marino Track', '5', '11/01/2022 10:52 PM'], ['Squashbusters', '35', '11/01/2022 09:16 PM']]
[['Marino 2nd Floor', '7', '11/01/2022 11:43 PM'], ['Marino Gym', '24', '11/01/2022 11:43 PM'], ['Marino 3rd Floor Weights', '59', '11/01/2022 10:52 PM'], ['Marino 3rd Floor Cardio', '33', '11/01/2022 10:52 PM'], ['Marino Track', '5', '11/01/2022 10:52 PM'], ['Squashbusters', '35', '11/01/2022 09:16 PM']]
[['Marino 2nd Floor', '0', '11/02/2022 05:31 AM'], ['Marino Gym', '0', '11/02/2022 05:31 AM'], ['Marino 3rd Floor Weights', '28', '11/02/2022 05:57 AM'], ['Marino 3rd Floor Cardio', '4', '11/02/2022 05:57 AM'], ['Marino Track', '1', '11/02/2022 05:57 AM'], ['Squashbusters', '35', '11/01/2022 09:16 PM']]
[['Marino 2nd Floor', '10', '11/02/2022 06:34 AM'], ['Marino Gym', '1', '11/02/2022 06:34 AM'], ['Marino 3rd Floor Weights', '26', '11/02/2022 06:56 AM'], ['Marino 3rd Floor Cardio', '16', '11/02/2022 06:56 AM'], ['Marino Track', '2', '11/02/2022 06:56 AM'], ['Squashbusters', '12', '11/02/2022 06:29 AM']]
[['Marino 2nd Floor', '16', '11/02/2022 07:28 AM'], ['Marino Gym', '1', '11/02/2022 07:28 AM'], ['Marino 3rd Floor Weights', '27', '11/02/2022 07:28 AM'], ['Marino 3rd Floor Cardio', '15', '11/02/2022 07:28 AM'], ['Marino Track', '3', '11/02/2022 07:28 AM'], ['Squashbusters', '21', '11/02/2022 07:29 AM']]
